freq,wst_oper,material,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,DSP_I,MF2,T_HAB,IT	0.005 s	0.004 s	0.004 s	0.004 s	0.004 s	0.003 s	0.002 s	0.001 s	0.001 s	0.001 s	0 s	0 s	0 s
A,DSP_I,MF2,T_HAB,LT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF2,T_HAB,LU	0.016 s	0.016 s	0.016 s	0.008 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF2,T_HAB,LV	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF2,T_HAB,MT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF2,T_HAB,NL	0.014 s	0.01 s	0.006 s	0.004 s	0.003 s	0.003 s	0.003 s	0.003 s	0.003 s	0.003 s	0.003 s	0.002 s	0.002 s
A,DSP_I,MF2,T_HAB,PL	0 s	0 s	0 s	0.001 s	0.001 s	0.001 s	0 s	0.001 s	0.001 s	0 s	0 s	0 s	0 s
A,DSP_I,MF2,T_HAB,PT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF2,T_HAB,RO	0 s	0 s	0.001 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF2,T_HAB,SE	0.002 s	0.001 s	0.001 s	0.001 s	0.002 s	0.002 s	0.002 s	0.002 s	0.002 s	0.001 s	0.001 s	0.002 s	0.002 s
A,DSP_I,MF2,T_HAB,SI	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF2,T_HAB,SK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF3,THS_T,AT	157 s	82 s	8 s	82 s	82 s	82 s	82 s	82 s	82 s	82 s	82 s	82 s	82 s
A,DSP_I,MF3,THS_T,BE	234 s	214 s	195 s	176 s	156 s	138 s	119 s	103 s	87 s	65 s	43 s	49 s	48 s
A,DSP_I,MF3,THS_T,BG	1 s	6 s	11 s	6 s	2 s	2 s	2 s	1 s	0 s	21 s	42 s	22 s	24 s
A,DSP_I,MF3,THS_T,CY	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF3,THS_T,CZ	9 s	10 s	11 s	11 s	10 s	10 s	10 s	11 s	12 s	11 s	10 s	12 s	12 s
A,DSP_I,MF3,THS_T,DE	1396 s	1308 s	1219 s	1058 s	897 s	688 s	480 s	386 s	293 s	274 s	255 s	221 s	225 s
A,DSP_I,MF3,THS_T,DK	0 s	0 s	0 s	0 s	0 s	1 s	1 s	1 s	2 s	1 s	0 s	1 s	1 s
A,DSP_I,MF3,THS_T,EE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF3,THS_T,EL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF3,THS_T,ES	297 s	149 s	1 s	1 s	1 s	1 s	2 s	17 s	33 s	21 s	9 s	13 s	13 s
A,DSP_I,MF3,THS_T,EU27_2020	4045 s	3531 s	3017 s	2792 s	2491 s	2094 s	1697 s	1496 s	1295 s	1195 s	1093 s	968 s	916 s
A,DSP_I,MF3,THS_T,FI	49 s	37 s	25 s	39 s	53 s	29 s	6 s	9 s	11 s	15 s	18 s	10 s	10 s
A,DSP_I,MF3,THS_T,FR	981 s	937 s	892 s	814 s	735 s	676 s	617 s	580 s	544 s	510 s	476 s	386 s	333 s
A,DSP_I,MF3,THS_T,HR	4 s	2 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF3,THS_T,HU	9 s	10 s	11 s	12 s	13 s	12 s	11 s	11 s	11 s	12 s	12 s	12 s	12 s
A,DSP_I,MF3,THS_T,IE	2 s	1 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF3,THS_T,IT	469 s	435 s	402 s	395 s	388 s	296 s	205 s	133 s	61 s	50 s	40 s	27 s	24 s
A,DSP_I,MF3,THS_T,LT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF3,THS_T,LU	15 s	16 s	16 s	8 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF3,THS_T,LV	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF3,THS_T,MT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF3,THS_T,NL	354 s	245 s	136 s	99 s	61 s	65 s	70 s	75 s	80 s	70 s	61 s	57 s	54 s
A,DSP_I,MF3,THS_T,PL	36 s	28 s	21 s	41 s	62 s	49 s	36 s	38 s	40 s	32 s	23 s	37 s	38 s
A,DSP_I,MF3,THS_T,PT	2 s	3 s	3 s	3 s	3 s	3 s	3 s	4 s	4 s	4 s	4 s	5 s	5 s
A,DSP_I,MF3,THS_T,RO	10 s	33 s	55 s	30 s	5 s	6 s	7 s	6 s	6 s	4 s	3 s	2 s	2 s
A,DSP_I,MF3,THS_T,SE	13 s	9 s	6 s	11 s	17 s	31 s	45 s	34 s	23 s	17 s	11 s	28 s	29 s
A,DSP_I,MF3,THS_T,SI	1 s	1 s	1 s	1 s	1 s	1 s	1 s	1 s	1 s	1 s	1 s	1 s	1 s
A,DSP_I,MF3,THS_T,SK	5 s	4 s	4 s	4 s	4 s	2 s	1 s	3 s	6 s	3 s	1 s	2 s	2 s
A,DSP_I,MF3,T_HAB,AT	0.019 s	0.01 s	0.001 s	0.01 s	0.01 s	0.01 s	0.009 s	0.009 s	0.009 s	0.009 s	0.009 s	0.009 s	0.009 s
A,DSP_I,MF3,T_HAB,BE	0.022 s	0.019 s	0.018 s	0.016 s	0.014 s	0.012 s	0.01 s	0.009 s	0.008 s	0.006 s	0.004 s	0.004 s	0.004 s
A,DSP_I,MF3,T_HAB,BG	0 s	0.001 s	0.001 s	0.001 s	0 s	0 s	0 s	0 s	0 s	0.003 s	0.006 s	0.003 s	0.004 s
A,DSP_I,MF3,T_HAB,CY	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF3,T_HAB,CZ	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s
A,DSP_I,MF3,T_HAB,DE	0.017 s	0.016 s	0.015 s	0.013 s	0.011 s	0.008 s	0.006 s	0.005 s	0.004 s	0.003 s	0.003 s	0.003 s	0.003 s
A,DSP_I,MF3,T_HAB,DK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF3,T_HAB,EE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF3,T_HAB,EL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF3,T_HAB,ES	0.006 s	0.003 s	0 s	0 s	0 s	0 s	0 s	0 s	0.001 s	0 s	0 s	0 s	0 s
